,site,metric,param_index,run_index,indexes,accuracies,false_negatives,average_f1,1_avg_f1,2_avg_f1,3_avg_f1,4_avg_f1
0,npp_c_cali,0.7401574803149606,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9212410501193318, 0.9212410501193318]","[7, 7]",0.18469955324570986,0.0,0.40973880718134015,0.0,0.3290594058014993
1,npp_c_grav,0.4742268041237113,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8782816229116945, 0.8782816229116945]","[51, 51]",0.2095894003194403,0.20807560137457046,0.31676686097720885,0.008888888888888887,0.3046262500370931
2,npp_c_sand,0.3617021276595745,1,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8568019093078759, 0.8568019093078759]","[60, 60]",0.24749906948594472,0.21686367218282113,0.3201856381189016,0.1331327811637235,0.3198141864783325
3,npp_g_basn,0.4588235294117647,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3412887828162291, 0.3412887828162291]","[2, 2]",0.4516521849365845,0.4488130822719684,0.45281513359695796,0.4488911442586205,0.4560893796187913
4,npp_g_ibpe,0.5204460966542751,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.3842482100238663, 0.3842482100238663]","[0, 0]",0.5072980462009343,0.503632130791717,0.5144328245450308,0.5052658440868744,0.5058613853801153
5,npp_g_summ,0.5333333333333333,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9331742243436754, 0.9331742243436754]","[21, 21]",0.18646459211430966,0.0,0.5077631303620005,0.0,0.2380952380952381
6,npp_m_nort,0.4732824427480916,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3412887828162291, 0.3412887828162291]","[1, 1]",0.4623103083267417,0.45883488267755296,0.46528463776528484,0.45927429637028466,0.4658474164938446
7,npp_m_rabb,0.7417582417582418,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.7756563245823389, 0.7756563245823389]","[0, 0]",0.5151995941244284,0.4881602028009384,0.5745265564223644,0.49653761025941484,0.5015740070149958
8,npp_m_well,0.4896421845574388,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.3532219570405728, 0.3532219570405728]","[0, 0]",0.4786607381278624,0.4779487312004398,0.4830216141698362,0.4751005344345757,0.4785720727065977
9,npp_p_coll,0.5591397849462366,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4128878281622912, 0.4128878281622912]","[0, 0]",0.5502652268054241,0.5480209809044949,0.549382779123141,0.5513812093151674,0.552275937878893
10,npp_p_smal,0.593128390596745,3,1,"['ensemble_or', 'ensemble_uniq_or']","[0.4630071599045346, 0.4630071599045346]","[5, 5]",0.5866331616580532,0.5874448342739873,0.5851804407992507,0.5901396046534889,0.583767766905486
11,npp_p_tobo,0.5714285714285714,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.4343675417661098, 0.4343675417661098]","[1, 1]",0.5602299115633157,0.5581401054970954,0.556925677621054,0.5615633504402849,0.5642905126948291
12,npp_t_east,0.4839319470699433,2,2,"['ensemble_or', 'ensemble_uniq_or']","[0.3484486873508353, 0.3484486873508353]","[0, 0]",0.4769567996220801,0.47301535011793866,0.4797230424534598,0.47902084878958573,0.47606795712733607
13,npp_t_tayl,0.5467889908256881,3,3,"['ensemble_or', 'ensemble_uniq_or']","[0.4105011933174224, 0.4105011933174224]","[1, 1]",0.5370803862735283,0.5357382641487773,0.5357222761346124,0.5340475197301363,0.542813485080587
14,npp_t_west,0.475095785440613,2,3,['ensemble_uniq_or'],[0.3460620525059666],[0],0.4618042309991795,0.46055268145066885,0.4656805372880171,0.4585808649162854,0.4624028403417468
